issue_id,label,label_short,system_component,issue_type,severity,confidence,affected_engines,affected_years,onset_km_range,symptom,cause,fix,warning_signs,inspection_advice,mention_count,distinct_channel_count,source_videos,source,data_quality,notes,corroboration_count
body_water_leaks,Body water leaks in rain and fifth door seal,Water leaks,body,fluid_leak,medium,high,"[""all""]",2013 to 2017,,Water enters the cabin during rainfall. Water leaks from the fifth door (hatchback) due to seal failure.,Seals can break.,Replace the door seals.,"[""Damp carpets"", ""Water stains""]","Check for moisture in footwells and trunk, inspect door seals for damage.",2,2,"[{""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems"", ""channel"": ""CashedOutCars"", ""video_type_category"": ""list_format""}, {""video_id"": ""AhRpFZIZKDA"", ""title"": ""Common MK7 Golf R Problems"", ""channel"": ""Sam A"", ""video_type_category"": ""organic""}]",youtube,high,Includes cabin leaks and specific fifth door seal issue.,2
electrical_components_wear,"Halogen bulb upgrade, start/stop button flaking, washer sensor",Electrical wear,electrical,wear_item,low,medium,"[""all""]",,,Original halogen bulbs may be insufficient. Metal finish on the start/stop button peels off. Windshield washer fluid sensor fails.,"Use of certain types of washer fluid, specifically Orange Rain-X.",Replacing original halogen bulbs with Osram alternatives works for many. Use normal wiper fluid to avoid the sensor issue.,"[""Dim headlights"", ""Flaking button"", ""Washer fluid warning""]","Check headlight brightness, inspect start/stop button finish, verify washer fluid sensor operation.",2,2,"[{""video_id"": ""TPoLnxbsqUE"", ""title"": ""Volkswagen Golf Mk7 used review: the best Golf EVER?"", ""channel"": ""Auto Express"", ""video_type_category"": ""organic""}, {""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems"", ""channel"": ""CashedOutCars"", ""video_type_category"": ""list_format""}]",youtube,medium,Combines multiple minor electrical/trim issues.,2
body_water_leaks,Body water leaks in rain and fifth door seal,Water leaks,body,fluid_leak,medium,high,"[""all""]",2013 to 2017,,Water enters the cabin during rainfall. Water leaks from the fifth door (hatchback) due to seal failure.,Seals can break.,Replace the door seals.,"[""Damp carpets"", ""Water stains""]","Check for moisture in footwells and trunk, inspect door seals for damage.",2,2,"[{""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems"", ""channel"": ""CashedOutCars"", ""video_type_category"": ""list_format""}, {""video_id"": ""AhRpFZIZKDA"", ""title"": ""Common MK7 Golf R Problems"", ""channel"": ""Sam A"", ""video_type_category"": ""organic""}]",youtube,high,Includes cabin leaks and specific fifth door seal issue.,2
electrical_components_wear,"Halogen bulb upgrade, start/stop button flaking, washer sensor",Electrical wear,electrical,wear_item,low,medium,"[""all""]",,,Original halogen bulbs may be insufficient. Metal finish on the start/stop button peels off. Windshield washer fluid sensor fails.,"Use of certain types of washer fluid, specifically Orange Rain-X.",Replacing original halogen bulbs with Osram alternatives works for many. Use normal wiper fluid to avoid the sensor issue.,"[""Dim headlights"", ""Flaking button"", ""Washer fluid warning""]","Check headlight brightness, inspect start/stop button finish, verify washer fluid sensor operation.",2,2,"[{""video_id"": ""TPoLnxbsqUE"", ""title"": ""Volkswagen Golf Mk7 used review: the best Golf EVER?"", ""channel"": ""Auto Express"", ""video_type_category"": ""organic""}, {""video_id"": ""UaYN_JlMb48"", ""title"": ""MK7 Volkswagen GTI - Common Problems"", ""channel"": ""CashedOutCars"", ""video_type_category"": ""list_format""}]",youtube,medium,Combines multiple minor electrical/trim issues.,2
water_pump_failure,Water pump housing leaks and failure,Water pump leak,cooling,fluid_leak,high,high,"[""1.8_TSI"", ""2.0_TSI""]",,,"Water pump leaks coolant. Minor coolant leak developing into a more substantial problem, potentially leading to engine overheating.",Poor water pump housing design with plastic housing prone to early failure.,,"[""Coolant loss"", ""Overheating"", ""Visible coolant leaks""]",Inspect for coolant residue around the water pump housing.,2,2,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review"", ""channel"": ""P3 Digital"", ""video_type_category"": ""organic""}, {""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""channel"": ""Cars.co.za"", ""video_type_category"": ""list_format""}]",youtube,high,,2
carbon_buildup_intake_valves,Carbon buildup on intake valves,Carbon buildup,engine,chronic_failure,medium,high,"[""1.8_TSI"", ""2.0_TSI""]",,,"Engine misfire, especially on cold startup. Excessive carbon buildup in the intake valves.",Carbon buildup on intake due to direct injection.,Carbon cleaning service.,"[""Misfires"", ""Rough idle"", ""Poor cold start""]",Consider a borescope inspection of intake valves.,2,2,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review"", ""channel"": ""P3 Digital"", ""video_type_category"": ""organic""}, {""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""channel"": ""Cars.co.za"", ""video_type_category"": ""list_format""}]",youtube,high,,2
water_pump_failure,Water pump housing leaks and failure,Water pump leak,cooling,fluid_leak,high,high,"[""1.8_TSI"", ""2.0_TSI""]",,,"Water pump leaks coolant. Minor coolant leak developing into a more substantial problem, potentially leading to engine overheating.",Poor water pump housing design with plastic housing prone to early failure.,,"[""Coolant loss"", ""Overheating"", ""Visible coolant leaks""]",Inspect for coolant residue around the water pump housing.,2,2,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review"", ""channel"": ""P3 Digital"", ""video_type_category"": ""organic""}, {""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""channel"": ""Cars.co.za"", ""video_type_category"": ""list_format""}]",youtube,high,,2
carbon_buildup_intake_valves,Carbon buildup on intake valves,Carbon buildup,engine,chronic_failure,medium,high,"[""1.8_TSI"", ""2.0_TSI""]",,,"Engine misfire, especially on cold startup. Excessive carbon buildup in the intake valves.",Carbon buildup on intake due to direct injection.,Carbon cleaning service.,"[""Misfires"", ""Rough idle"", ""Poor cold start""]",Consider a borescope inspection of intake valves.,2,2,"[{""video_id"": ""bBnY69Fzf1I"", ""title"": ""MK7 GTI Long Term Ownership Review"", ""channel"": ""P3 Digital"", ""video_type_category"": ""organic""}, {""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""channel"": ""Cars.co.za"", ""video_type_category"": ""list_format""}]",youtube,high,,2
panoramic_roof_rattles_leaks,Panoramic roof rattles and water leaks,Sunroof leaks,body,chronic_failure,medium,high,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI"", ""1.6_TDI"", ""2.0_TDI""]",,,"Rattling noises on uneven roads, water leaks after heavy rain, or clogged drainage channels.",,,"[""Rattling from roof"", ""Damp interior after rain""]","Check headliner for water stains, test sunroof operation, inspect drainage channels.",2,2,"[{""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""channel"": ""Cars.co.za"", ""video_type_category"": ""list_format""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}]",youtube,high,Merged 'sunroof_creaking_leaking' (specific to 2.0_TSI) into broader panoramic roof issue.,2
panoramic_roof_rattles_leaks,Panoramic roof rattles and water leaks,Sunroof leaks,body,chronic_failure,medium,high,"[""1.0_TSI"", ""1.2_TSI"", ""1.4_TSI"", ""1.5_TSI"", ""1.8_TSI"", ""2.0_TSI"", ""1.6_TDI"", ""2.0_TDI""]",,,"Rattling noises on uneven roads, water leaks after heavy rain, or clogged drainage channels.",,,"[""Rattling from roof"", ""Damp interior after rain""]","Check headliner for water stains, test sunroof operation, inspect drainage channels.",2,2,"[{""video_id"": ""Ud-hCsHR8I8"", ""title"": ""VW Golf 7 GTI used car Buyer's Guide - Common Problems, Parts Pricing, Used Car Pricing, Review"", ""channel"": ""Cars.co.za"", ""video_type_category"": ""list_format""}, {""video_id"": ""NVlT0G8sUPA"", ""title"": ""VW Golf 7: REAL Reliability Review – Common Problems, Failures & Best Engines"", ""channel"": ""Car Issues"", ""video_type_category"": ""list_format""}]",youtube,high,Merged 'sunroof_creaking_leaking' (specific to 2.0_TSI) into broader panoramic roof issue.,2
